군구,1시간 이상 3시간 미만,3시간 이상 5시간 미만,5시간 이상 7시간 미만,7시간 이상 9시간 미만,9시간 이상 12시간 미만,12시간 이상
중구,0.1,3.9,5,62.6,25.1,3.3
동구,3.5,7.9,8.2,51.2,18.1,11.1
미추홀구,0,2,5.2,77.4,13.1,2.3
연수구,2.3,3.1,3.5,66.9,22.2,2
남동구,0.2,3,5.4,75.3,13.7,2.3
부평구,1.2,5.1,4.7,57.2,25.8,6
계양구,0.4,3.2,5.2,45.4,43.9,1.9
서구,1.9,4.8,5,63.6,20.8,3.9
강화군,5,8.6,6,63.2,16.1,1.1
옹진군,1.3,13.5,13.9,47.4,16.5,7.4
